"date","ksf_rdo_concentration","ksf_rdo_saturation","ksf_oxygen_partial_pressure","ksf_actual_conductivity","ksf_specific_conductivity","ksf_salinity","ksf_density","ksf_total_dissolved_solids","ksf_chlorophyll_a_fluorescence","ksf_ammonium","ksf_ammonium_m_v","ksf_barometric_pressure"
2023-11-20,6.13909651041667,88.98420125,138.220547916667,49760.6278125,49848.7348958333,33.1481495833333,1.02197254166667,32.4016773958333,2.58587227083333,9.64494783333333,64.1384723958333,0.0849375
2023-11-21,5.51666129166667,80.1438377083333,124.476473125,50148.4240625,50186.8558333333,33.4018858333333,1.02214796875,32.62145625,2.30511842708333,9.71331996875,64.3150259375,0.08765625
2023-11-22,4.88708697916667,71.1643985416667,110.497628020833,50246.5553125,50126.9273958333,33.3614338541667,1.02206735416667,32.5825032291667,1.61500748229167,9.70041148958333,64.3194221875,0.09103125
2023-11-23,5.07777432291667,74.6909263541667,115.817596770833,50509.6929166667,49795.3252083333,33.1290801041667,1.02170013541667,32.366961875,1.41976652083333,9.74702114583333,64.5650178125,0.10528125
2023-11-24,5.64121658333333,83.4286805208333,128.937884895833,50627.9479166667,49732.9222916667,33.0882577083333,1.02161201041667,32.3263998958333,1.04224331458333,9.8458596875,64.8428245833333,0.10875
2023-11-25,5.82102015625,86.8597890625,133.662285729167,51075.0367708333,49963.1958333333,33.2645130208333,1.02167538541667,32.4760773958333,0.474284277083333,9.94954647916667,65.1358310416667,0.11409375
2023-11-26,5.86165213541667,87.1585588541667,134.199642708333,51119.4779166667,50228.3504166667,33.4576588541667,1.021894875,32.6484283333333,0.444508952083333,9.8899325,64.9451708333333,0.1085625
2023-11-27,5.60958580208333,82.9974589583333,127.869827083333,50871.2263541667,50269.778125,33.4813339583333,1.02200576041667,32.6753559375,0.468931576041667,9.73552896875,64.5125404166667,0.1005
2023-11-28,5.44565242708333,80.4437659375,123.950824583333,50697.9488541667,50152.979375,33.3926951041667,1.0219565625,32.5994366666667,0.489556020833333,9.62739321875,64.2387320833333,0.100125
2023-11-29,5.55563727083333,81.9373345833333,126.246374166667,50259.0385416667,49696.6709375,33.0524782291667,1.02169294791667,32.3028364583333,0.548000429166667,9.42340155208333,63.7429216666667,0.09834375
2023-11-30,5.39925572916667,78.7619242708333,121.4775725,49295.2179166667,49217.70875,32.6825405208333,1.02156882291667,31.9915113541667,0.672297154166667,9.17011092708333,62.9996010416667,0.0883125
2023-12-01,5.40468611458333,78.4847591666667,121.104626979167,48945.9964583333,49095.0620833333,32.5849363541667,1.02156761458333,31.9117898958333,0.774010627083333,9.04526554166667,62.6303253125,0.0838125
2023-12-02,5.80666919791667,84.7635442708333,130.714129479167,49151.0341666667,49088.8828125,32.5855211458333,1.02149904166667,31.907774375,0.740853190625,9.03438542708333,62.6493742708333,0.0898125
2023-12-03,5.84193470833333,85.945813125,132.4310834375,49721.545625,49243.7236458333,32.7121158333333,1.02146127083333,32.0084205208333,0.829638014583333,9.15336648958333,63.0482780208333,0.10003125
2023-12-04,6.25269073381295,91.8971969064748,141.956156834532,49880.1356834532,49306.0405755396,32.7611510071942,1.02146752517986,32.0489269064748,0.946742985611511,9.15665517985611,63.0787642446043,0.133223021582734
