"depth","water_temperature","dissolved_oxygen","salinity","conductivity","visibility","location","date"
"4.5",24.9,6.33,NA,44.8,6,"mid buoy",2024-01-30
"4",25,6.74,NA,45.9,6,"mid buoy",2024-01-30
"3.5",25,7.51,NA,49.2,6,"mid buoy",2024-01-30
"3",25.1,8.41,NA,50.8,6,"mid buoy",2024-01-30
"2.5",25.2,8.93,NA,51,6,"mid buoy",2024-01-30
"2",25.3,9.15,NA,51.1,6,"mid buoy",2024-01-30
"1.5",25.2,9.35,NA,51,6,"mid buoy",2024-01-30
"1",25.2,9.61,NA,51,6,"mid buoy",2024-01-30
"0.5",25.3,9.51,NA,51,6,"mid buoy",2024-01-30
"7.5",23.2,0.4,NA,52.2,4,"mid buoy",2024-02-20
"7",23.2,7.5,NA,52.2,4,"mid buoy",2024-02-20
"6.5",23.2,8,NA,52.2,4,"mid buoy",2024-02-20
"6",23.2,8.2,NA,52.5,4,"mid buoy",2024-02-20
"5.5",23.2,8.5,NA,52.5,4,"mid buoy",2024-02-20
"5",23.2,8.8,NA,52.5,4,"mid buoy",2024-02-20
"4.5",23.1,9,NA,52.5,4,"mid buoy",2024-02-20
"4",23,9.3,NA,52.5,4,"mid buoy",2024-02-20
"3.5",23,9.5,NA,52.5,4,"mid buoy",2024-02-20
"3",23,9.6,NA,52.5,4,"mid buoy",2024-02-20
"2.5",22.9,9.7,NA,52.5,4,"mid buoy",2024-02-20
"2",23,20,NA,52.5,4,"mid buoy",2024-02-20
"1.5",23,10.1,NA,52.5,4,"mid buoy",2024-02-20
"1",23.1,10.1,NA,52.7,4,"mid buoy",2024-02-20
"0.5",23.2,10.3,NA,52.7,4,"mid buoy",2024-02-20
"2.5",25.3,86,52957,4,NA,"production dock",2023-11-28
"2",25.3,86.6,52966,1.39,NA,"production dock",2023-11-28
"1.5",25.3,91.9,52940,1.33,NA,"production dock",2023-11-28
"1",25.3,92.6,52930,1.1,NA,"production dock",2023-11-28
"0.5",25.2,94.9,48300,1.3,NA,"production dock",2023-11-28
"2.5",22.7,7,NA,50.2,4,"production dock",2023-12-21
"2",22.7,9.02,NA,50.2,4,"production dock",2023-12-21
"1.5",22.7,9.08,NA,50.2,4,"production dock",2023-12-21
"1",22.7,9.12,NA,50.2,4,"production dock",2023-12-21
"0.5",22.7,9.4,NA,50.1,4.5,"production dock",2023-12-21
"2.5",24.5,8.43,NA,50.9,4.5,"production dock",2024-01-09
"2",24.5,8.5,NA,50.8,4.5,"production dock",2024-01-09
"1.5",24.5,8.76,NA,50.7,4.5,"production dock",2024-01-09
"1",24.5,8.97,NA,50.7,4.5,"production dock",2024-01-09
"0.5",24.5,9.03,NA,50.7,4.5,"production dock",2024-01-09
"2.5",25.3,8.37,NA,51.2,4,"production dock",2024-01-30
"2",25.3,8.52,NA,51.2,4,"production dock",2024-01-30
"1.5",25.3,9.08,NA,51.2,4,"production dock",2024-01-30
"1",25.6,9.29,NA,50.8,4,"production dock",2024-01-30
"0.5",25.5,9.4,NA,50.9,4,"production dock",2024-01-30
"2.5",23.3,10.3,NA,52.3,4.5,"production dock",2024-02-20
"2",23.4,10.3,NA,52.3,4.5,"production dock",2024-02-20
"1.5",23.4,10.1,NA,52.2,4.5,"production dock",2024-02-20
"1",23.8,10.1,NA,52.2,4.5,"production dock",2024-02-20
