"depth","water_temperature","dissolved_oxygen","salinity","visibility","location","date"
"3.5",25,7.51,49.2,6,"Mid Buoy",2024-01-30
"3",25.1,8.41,50.8,6,"Mid Buoy",2024-01-30
"2.5",25.2,8.93,51,6,"Mid Buoy",2024-01-30
"2",25.3,9.15,51.1,6,"Mid Buoy",2024-01-30
"1.5",25.2,9.35,51,6,"Mid Buoy",2024-01-30
"1",25.2,9.61,51,6,"Mid Buoy",2024-01-30
"0.5",25.3,9.51,51,6,"Mid Buoy",2024-01-30
"7.5",23.2,0.4,52.2,4,"Mid Buoy",2024-02-20
"7",23.2,7.5,52.2,4,"Mid Buoy",2024-02-20
"6.5",23.2,8,52.2,4,"Mid Buoy",2024-02-20
"6",23.2,8.2,52.5,4,"Mid Buoy",2024-02-20
"5.5",23.2,8.5,52.5,4,"Mid Buoy",2024-02-20
"5",23.2,8.8,52.5,4,"Mid Buoy",2024-02-20
"4.5",23.1,9,52.5,4,"Mid Buoy",2024-02-20
"4",23,9.3,52.5,4,"Mid Buoy",2024-02-20
"3.5",23,9.5,52.5,4,"Mid Buoy",2024-02-20
"3",23,9.6,52.5,4,"Mid Buoy",2024-02-20
"2.5",22.9,9.7,52.5,4,"Mid Buoy",2024-02-20
"2",23,20,52.5,4,"Mid Buoy",2024-02-20
"1.5",23,10.1,52.5,4,"Mid Buoy",2024-02-20
"1",23.1,10.1,52.7,4,"Mid Buoy",2024-02-20
"0.5",23.2,10.3,52.7,4,"Mid Buoy",2024-02-20
"2.5",25.3,7.77,52.95,NA,"Production Dock",2023-11-28
"2",25.3,7.82,52.966,NA,"Production Dock",2023-11-28
"1.5",25.3,8.3,52.94,NA,"Production Dock",2023-11-28
"1",25.3,8.36,52.93,NA,"Production Dock",2023-11-28
"0.5",25.2,8.57,48.3,NA,"Production Dock",2023-11-28
"2.5",22.7,7,50.2,4,"Production Dock",2023-12-21
"2",22.7,9.02,50.2,4,"Production Dock",2023-12-21
"1.5",22.7,9.08,50.2,4,"Production Dock",2023-12-21
"1",22.7,9.12,50.2,4,"Production Dock",2023-12-21
"0.5",22.7,9.4,50.1,4.5,"Production Dock",2023-12-21
"2.5",24.5,8.43,50.9,4.5,"Production Dock",2024-01-09
"2",24.5,8.5,50.8,4.5,"Production Dock",2024-01-09
"1.5",24.5,8.76,50.7,4.5,"Production Dock",2024-01-09
"1",24.5,8.97,50.7,4.5,"Production Dock",2024-01-09
"0.5",24.5,9.03,50.7,4.5,"Production Dock",2024-01-09
"2.5",25.3,8.37,51.2,4,"Production Dock",2024-01-30
"2",25.3,8.52,51.2,4,"Production Dock",2024-01-30
"1.5",25.3,9.08,51.2,4,"Production Dock",2024-01-30
"1",25.6,9.29,50.8,4,"Production Dock",2024-01-30
"0.5",25.5,9.4,50.9,4,"Production Dock",2024-01-30
"2.5",23.3,10.3,52.3,4.5,"Production Dock",2024-02-20
"2",23.4,10.3,52.3,4.5,"Production Dock",2024-02-20
"1.5",23.4,10.1,52.2,4.5,"Production Dock",2024-02-20
"1",23.8,10.1,52.2,4.5,"Production Dock",2024-02-20
"0.5",23.9,10,52.2,4.5,"Production Dock",2024-02-20
"1",24.7,9.12,50.3,NA,"Auwai",2023-11-28
"0.5",24.7,9.09,50,NA,"Auwai",2023-11-28
"1",22.9,11.99,50,4.5,"Auwai",2023-12-21
"0.5",22.9,9.85,50,4.5,"Auwai",2023-12-21
"1",24.5,9,50.8,4.5,"Auwai",2024-01-09
"0.5",24.5,9.09,50.7,4.5,"Auwai",2024-01-09
"1",25.3,8.9,51.1,4.5,"Auwai",2024-01-30
"0.5",25.3,9.48,50.9,4.5,"Auwai",2024-01-30
"1",23.8,10,52,4.5,"Auwai",2024-02-20
"0.5",24,10.3,52.9,4.5,"Auwai",2024-02-20
