"date","outdoor_temperature","wind_speed_mph","hourly_rain_inch_hr","wind_direction"
2023-11-20,22.4513888888889,5.71416666666667,0,50.8333333333333
2023-11-21,23.1967592592593,4.75333333333333,0,50.375
2023-11-22,23.8101851851852,3.23375,0.006875,77.7083333333333
2023-11-23,24.3611111111111,4.10208333333333,0,99.7916666666667
2023-11-24,24.1990740740741,3.93333333333333,0,99.8333333333333
2023-11-25,24.3101851851852,4.52125,0,92.8333333333333
2023-11-26,23.8541666666667,4.0275,0,45.75
2023-11-27,23.3101851851852,3.3375,0.00295833333333333,65.25
2023-11-28,22.912037037037,1.78125,0.0659166666666667,231.875
2023-11-29,23.2453703703704,4.53041666666667,0.007875,180.458333333333
2023-11-30,23.1041666666667,2.72125,0.0521666666666667,173.833333333333
2023-12-01,22.8611111111111,3.765,0.00295833333333333,191.125
2023-12-02,24.1296296296296,3.73708333333333,0,112.75
2023-12-03,23.8055555555556,3.14166666666667,0,76.6666666666667
2023-12-04,23.7731481481481,2.69416666666667,0,121.708333333333
2023-12-05,23.8935185185185,3.86666666666667,0,84.5833333333333
2023-12-06,24.3310185185185,5.18166666666667,0,45.5416666666667
2023-12-07,23.9560185185185,1.93875,0,244.958333333333
2023-12-08,23.6782407407407,2.535,0,281.875
2023-12-09,23.3541666666667,3.41208333333333,0,48.4166666666667
2023-12-10,24.1759259259259,4.70625,0,41.2083333333333
2023-12-11,24.7916666666667,2.35833333333333,0,80.5
2023-12-12,23.4420289855072,2.52913043478261,0.011304347826087,147.347826086957
2023-12-13,21.787037037037,5.47,0.0187083333333333,73.6666666666667
2023-12-14,20.9976851851852,4.45541666666667,0,89.2083333333333
2023-12-15,21.337962962963,4.85458333333333,0,61.2916666666667
2023-12-16,20.4699074074074,3.34583333333333,0.00295833333333333,28.25
2023-12-17,20.6828703703704,3.31791666666667,0,50.1666666666667
2023-12-18,21.1435185185185,3.70916666666667,0.0177083333333333,34.25
2023-12-19,21.3912037037037,6.85041666666667,0.0295416666666667,59.625
2023-12-20,20.2638888888889,4.27,0.102333333333333,53.7916666666667
2023-12-21,21.9050925925926,4.94916666666667,0.00295833333333333,37.875
2023-12-22,22.4861111111111,3.85958333333333,0,48.2083333333333
2023-12-23,22.4583333333333,3.2625,0,69.6666666666667
2023-12-24,22.4953703703704,2.68375,0,34.125
2023-12-25,22.0972222222222,2.38666666666667,0,96.7916666666667
2023-12-26,21.5555555555556,2.63833333333333,0,74.5
2023-12-27,22.1521739130435,2.08130434782609,0,48.6086956521739
2023-12-28,21.4560185185185,3.60708333333333,0,107.666666666667
2023-12-29,22.2222222222222,2.88083333333333,0,55.4166666666667
2023-12-30,22.2152777777778,3.82083333333333,0,47.625
2023-12-31,22.8402777777778,2.67458333333333,0,47.625
2024-01-01,22.3125,3.8675,0.0127916666666667,46.8333333333333
2024-01-02,22.3671497584541,4.26,0.00204347826086957,56.9130434782609
2024-01-03,22.7592592592593,4.20458333333333,0,70.0833333333333
2024-01-04,22.7800925925926,3.58041666666667,0,82.625
2024-01-05,22.537037037037,3.31,0,83.2916666666667
2024-01-06,22.8958333333333,3,0,75.5833333333333
2024-01-07,23.4953703703704,2.49833333333333,0.0127916666666667,106.458333333333
2024-01-08,22.4074074074074,5.80666666666667,0.0275416666666667,261.916666666667
2024-01-09,22.1574074074074,6.92458333333333,0,255.666666666667
2024-01-10,20.8425925925926,4.07291666666667,0,278.375
2024-01-11,19.6296296296296,5.75041666666667,0.00195833333333333,267
2024-01-12,19.2800925925926,2.33,0,271.958333333333
2024-01-13,19.9444444444444,3.14083333333333,0,271.958333333333
2024-01-14,20.3935185185185,3.90458333333333,0,271.958333333333
2024-01-15,22.0347222222222,3.98,0,271.833333333333
2024-01-16,23.4189814814815,6.4125,0,264.625
2024-01-17,22.4328703703704,5.40625,0,265.625
2024-01-18,22.4143518518519,3.65375,0,265.625
2024-01-19,23.9166666666667,2.21875,0,265.416666666667
2024-01-20,24.6481481481481,2.71208333333333,0,268.666666666667
2024-01-21,22.4444444444444,1.91916666666667,0.01575,315.291666666667
2024-01-22,24.712962962963,1.39791666666667,0,341.75
2024-01-23,25.0300925925926,1.09916666666667,0,324.75
2024-01-24,22.8912037037037,2.93708333333333,0.00195833333333333,302.666666666667
2024-01-25,22.3935185185185,4.01708333333333,0,299
2024-01-26,22.5185185185185,4.87333333333333,0.00295833333333333,298.583333333333
2024-01-27,23.7361111111111,6.03083333333333,0.00295833333333333,295.291666666667
2024-01-28,23.5509259259259,6.12291666666667,0.00295833333333333,294.416666666667
2024-01-29,23.3356481481481,6.96208333333333,0.0206666666666667,269.875
2024-01-30,22.587962962963,2.74958333333333,0,258.875
2024-01-31,22.5833333333333,1.41541666666667,0,258.916666666667
2024-02-01,22.7662037037037,3.02916666666667,0,259.375
2024-02-02,20.6875,3.26083333333333,0,260.75
2024-02-03,20.3587962962963,4.98666666666667,0,261.083333333333
2024-02-04,21.6111111111111,7.24166666666667,0,271.416666666667
2024-02-05,22.2121212121212,6.46636363636364,0,288.318181818182
2024-02-06,22.7083333333333,6.39416666666667,0,291.5
2024-02-07,22.9292929292929,6.64909090909091,0,294
2024-02-08,22.6087962962963,3.57875,0,295.125
2024-02-09,22.1388888888889,3.58833333333333,0,295.041666666667
2024-02-10,22.4907407407407,2.56333333333333,0,295.041666666667
2024-02-11,22.5347222222222,3.10416666666667,0,294.875
2024-02-12,22.4953703703704,5.16333333333333,0,294.833333333333
2024-02-13,23.2995169082126,2.39217391304348,0,294.782608695652
2024-02-14,23.0138888888889,4.97708333333333,0,294.75
